Time,Chamber Pressure [Bar],N2 Pressure [Bar],Leakage Rate [Bar/Min],Wall Temp [C],Coolant In Temp,Coolant Out Temp,Injector Temp [C],Internal Temp [C],Heater on?
06/13/2024 10:25:34.771 AM,0.02365724742,0.3509598076,-0.08282470703,33.32356262,38.49365997,38.10641098,33.60923767,29.32769585,1
06/13/2024 10:25:35.772 AM,0.002156131435,0.3366253972,-0.03055419959,33.64855576,38.52766418,38.15270996,33.63372803,29.62110329,1
06/13/2024 10:25:36.672 AM,0.004545032978,0.3509598076,-0.03454455361,33.97073746,38.54507446,38.18240356,33.66067505,29.91512489,1
06/13/2024 10:25:37.672 AM,0.03799165785,0.2936221659,-0.02815137058,34.13111877,38.55702209,38.19755936,33.67499161,30.05996513,1
06/13/2024 10:25:38.771 AM,0.01171274018,0.3031787872,-0.04664642736,34.45066071,38.57922363,38.21816635,33.69924545,30.35226822,1
06/13/2024 10:25:39.772 AM,0.002156131435,0.28167665,0.1178930774,34.77510071,38.5807724,38.23929214,33.72491455,30.64605331,1
06/13/2024 10:25:40.772 AM,-0.007400477305,0.2936221659,0.08021902293,35.09757996,38.59254837,38.24875641,33.75209808,30.93910789,1
06/13/2024 10:25:41.671 AM,0.01649054326,0.3461820185,0.06384122372,35.26198578,38.6271553,38.25347519,33.76558685,31.08361626,1
06/13/2024 10:25:42.671 AM,-0.01934598759,0.3390142918,0.04233751446,35.58096313,38.68769073,38.28982544,33.79385376,31.37714195,1
06/13/2024 10:25:43.672 AM,0.02604614943,0.4226318598,0.01006351598,35.9031868,38.7572403,38.34462738,33.81991577,31.66478539,1
06/13/2024 10:25:44.671 AM,0.05471597612,0.3079565763,-0.03988469765,36.22663498,38.81883621,38.39859009,33.84960938,31.95774078,1
06/13/2024 10:25:45.671 AM,-0.005011575762,0.3127343953,-0.03184296563,36.54709244,38.87806702,38.45855331,33.87746429,32.24374771,1
06/13/2024 10:25:46.771 AM,0.01649054326,0.3581265211,-0.00612409832,36.8720665,38.91466904,38.51029205,33.90493011,32.52965927,1
06/13/2024 10:25:47.771 AM,0.08099489659,0.3127343953,0.0326340124,37.03087997,38.90211868,38.53261185,33.92108154,32.67487335,1
06/13/2024 10:25:48.671 AM,0.03560275584,0.3414041996,0.02383534797,37.35461044,38.83407593,38.53252029,33.95027542,32.96084595,1
06/13/2024 10:25:49.771 AM,0.04754826799,0.3509598076,0.1338139772,37.67382813,38.76676559,38.4885025,33.97842789,33.24693298,1
06/13/2024 10:25:50.671 AM,0.03560275584,0.3581265211,0.1387079954,37.99295425,38.74711609,38.45052338,34.01031494,33.52899551,1
06/13/2024 10:25:51.772 AM,0.04754826799,0.3796286285,0.1353872567,38.31354904,38.76406479,38.44220734,34.02488327,33.67040634,1
06/13/2024 10:25:52.771 AM,0.04993717,0.3366253972,0.2507506311,38.47138214,38.78184509,38.442379,34.05696106,33.95061111,1
06/13/2024 10:25:53.671 AM,0.08816260099,0.3222909868,0.2400415838,38.79206085,38.80895996,38.46718597,34.08899689,34.23046494,1
06/13/2024 10:25:54.671 AM,0.02365724742,0.3581265211,0.1817696393,39.11186981,38.8363533,38.48853683,34.11988831,34.50698471,1
06/13/2024 10:25:55.672 AM,0.03560275584,0.3605154157,0.1636088789,39.26979828,38.84988022,38.50011063,34.13632202,34.64848709,1
06/13/2024 10:25:56.671 AM,0.04277046397,0.3485709131,0.1427850425,39.58548737,38.9111557,38.53222275,34.16408539,34.92039871,1
06/13/2024 10:25:57.771 AM,0.06904938072,0.3485709131,0.1329797357,39.90447998,38.95731735,38.57323837,34.1943512,35.19342804,1
06/13/2024 10:25:58.671 AM,0.09532930702,0.3652942181,0.08719470352,40.22062302,39.01440048,38.61717224,34.22808456,35.46842957,1
06/13/2024 10:25:59.771 AM,0.05471597612,0.3629053235,0.06254297495,40.5351944,39.1028862,38.67295074,34.26210022,35.73740005,1
06/13/2024 10:26:00.771 AM,0.03082395159,0.3867963552,0.005591244902,40.85168457,39.17948914,38.7433548,34.29294205,36.00344849,1
06/13/2024 10:26:01.672 AM,0.04038055986,0.4011297524,-0.0380445756,41.00868607,39.20528412,38.77378082,34.30847931,36.13866806,1
06/13/2024 10:26:02.771 AM,0.03082395159,0.3246798813,0.01646237075,41.32236862,39.24895859,38.8315239,34.34090042,36.40383148,1
06/13/2024 10:26:03.671 AM,0.08577369899,0.3557376266,-0.01613685302,41.63700104,39.24760056,38.86965561,34.37470627,36.66559982,1
06/13/2024 10:26:04.772 AM,0.05232607201,0.3605154157,-0.02259662747,41.95133209,39.26380157,38.8805275,34.40543365,36.92356873,1
06/13/2024 10:26:05.671 AM,0.04754826799,0.3390142918,-0.01068398729,42.10609818,39.26276779,38.89425659,34.42153168,37.05402756,1
06/13/2024 10:26:06.671 AM,0.04038055986,0.3270688057,0.01143901795,42.41648865,39.24045563,38.90359879,34.45661545,37.30670929,1
06/13/2024 10:26:07.771 AM,0.05471597612,0.3366253972,-0.02682863362,42.72816086,39.2278595,38.89793777,34.48931503,37.55984879,1
06/13/2024 10:26:08.772 AM,0.05471597612,0.3294577003,-0.008162937127,43.03978348,39.22489166,38.89123154,34.52274704,37.80426788,1
06/13/2024 10:26:09.671 AM,0.05471597612,0.3175121844,-0.004085315391,43.19444656,39.23348618,38.88880157,34.53887177,37.92666245,1
06/13/2024 10:26:10.671 AM,0.03082395159,0.3294577003,-0.02148705535,43.50099182,39.27461624,38.90610886,34.57426834,38.16775131,1
06/13/2024 10:26:11.771 AM,0.04993717,0.3414041996,-0.02614402771,43.81163406,39.32081604,38.93631363,34.60886383,38.40010452,1
06/13/2024 10:26:12.771 AM,0.01410164218,0.3533487022,0.02784197405,44.11782074,39.35532761,38.97741699,34.64564514,38.63024902,1
06/13/2024 10:26:13.671 AM,0.01410164218,0.3390142918,-0.02091963962,44.42645645,39.37636185,39.00450516,34.68228531,38.859272,1
06/13/2024 10:26:14.772 AM,0.04993717,0.3222909868,0.04147587717,44.73089218,39.38436127,39.02727127,34.72030258,39.0804863,1
06/13/2024 10:26:15.771 AM,0.01410164218,0.3891852498,-0.003767599585,44.88285065,39.39061737,39.0369072,34.73782349,39.18952942,1
06/13/2024 10:26:16.671 AM,0.04277046397,0.343793124,-0.01764152199,45.18933487,39.4356308,39.05294037,34.77408218,39.40242004,1
06/13/2024 10:26:17.671 AM,0.02604614943,0.3915741444,-0.04798804224,45.49396515,39.47138214,39.08692169,34.81139374,39.61165619,1
